# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.509 4.934 8.76 2
0.505 4.917 8.775 2
0.505 4.905 8.784 2
0.505 4.896 8.791 3
0.495 4.889 8.784 2
0.495 4.874 8.775 1
0.488 4.85 8.758 2
0.488 4.85 8.758 3
0.486 4.824 8.731 2
0.452 4.8 8.7 2
0.44 4.807 8.696 2
0.43 4.807 8.684 2
0.452 4.807 8.664 2
0.454 4.819 8.657 2
0.454 4.819 8.638 2
0.469 4.817 8.624 2
0.507 4.802 8.581 2
0.519 4.807 8.533 2
0.529 4.812 8.511 2
0.548 4.826 8.485 2
0.557 4.836 8.444 2
0.574 4.826 8.427 2
0.591 4.824 8.399 2
0.6 4.822 8.375 2
0.608 4.829 8.36 2
0.622 4.831 8.332 2
0.624 4.841 8.327 2
0.629 4.838 8.324 2
0.632 4.843 8.324 2
0.615 4.85 8.322 2
0.603 4.879 8.327 2
0.615 4.881 8.322 2
0.61 4.879 8.336 2
0.584 4.905 8.36 2
0.562 4.92 8.391 2
0.562 4.936 8.403 2
0.541 4.968 8.478 2
0.541 4.968 8.478 2
0.514 4.994 8.506 2
0.483 5.004 8.545 2
0.478 5.006 8.566 2
0.454 5.032 8.614 2
0.445 5.051 8.667 2
0.435 5.054 8.696 2
0.392 5.071 8.741 2
0.363 5.063 8.798 2
0.359 5.063 8.83 2
0.356 5.063 8.873 2
0.339 5.061 8.93 2
0.318 5.047 8.959 2
0.308 5.035 9.012 2
0.313 5.027 9.038 2
0.294 5.004 9.083 2
0.27 4.984 9.126 2
0.253 4.982 9.15 2
